ISBN,AUTHOR,TITLE,ED,YEAR,DIS,CURR,PRICE,STREAM,SUBJECT,LEVEL
9789390595228,ARCHITH BOLOOR,EXAM PREPARATORY MANUAL FOR UNDERGRADUATES MEDICINE,3/E,2021,35.00%,INR,1595,MEDICAL,INTERNAL MEDICINE,UG CLINICAL
9789389776409,RAMADAS NAYAK,EXAM PREPARATORY MANUAL FOR UNDERGRADUATES PATHOLOGY,4/E,2020,35.00%,INR,1895,MEDICAL,PATHOLOGY,UG BASIC
9789388958950,UN PANDA,"JAYPEE’S NURSES’ DICTIONARY FOR NURSES AND ALLIED HEALTHCARE PROFESSIONALS
",5/E,2019,37.50%,INR,450,NURSING,DICTIONARY,NURSING BASIC
9789354657726,ASHALATHA PR,TEXTBOOK OF APPLIED ANATOMY & PHYSIOLOGY FOR NURSES,6/E,2022,37.50%,INR,1295,NURSING,ANATOMY AND PHYSIOLOGY,NURSING BASIC
9789390595822,ANNAMMA JACOB,MIDWIFERY CASEBOOK A PRACTICAL RECORD OF MATERNAL AND NEWBORN NURSING (FOR BSC NURSING STUDENTS),8/E,2021,37.50%,INR,595,NURSING,MIDWIFERY NURSING,NURSING CLINICAL
9789352706891,KD TRIPATHI,"PHARMACOLOGICAL CLASSIFICATION OF DRUGS: WITH DOSES AND PREPARATIONS
",6/E,2019,30.00%,INR,450,MEDICAL,PHARMACOLOGY,UG BASIC
9789354652387,CLEMENT I,PRACTICAL RECORD / CUMULATIVE RECORD FOR BASIC BSC (NURSING) COURSE,6/E,2022,37.50%,INR,250,NURSING,CLINICAL RECORD BOOK,NURSING BASIC
9789354653216,KS NARAYAN REDDY,THE ESSENTIALS OF FORENSIC MEDICINE & TOXICOLOGY,35/E,2022,30.00%,INR,1195,MEDICAL,FORENSIC MEDICINE AND TOXICOLOGY,UG BASIC
9789389188011,GK PAL,COMPREHENSIVE TEXTBOOK OF MEDICAL PHYSIOLOGY  2 VOLS,2/E,2019,40.00%,INR,1695,MEDICAL,PHYSIOLOGY,UG BASIC
9789352702381,ALAGAPPAN R,MANUAL OF PRACTICAL MEDICINE,6/E,2018,30.00%,INR,1495,MEDICAL,INTERNAL MEDICINE,UG CLINICAL
9789354655722,ANNAMMA JACOB,MIDWIFERY CASEBOOK: A PRACTICAL RECORD OF MATERNAL AND NEWBORN NURSING FOR GNM STUDENTS,5/E,2022,37.50%,INR,595,NURSING,MIDWIFERY NURSING,NURSING CLINICAL
9788171793846,LC GUPTA,"MANUAL OF FIRST AID: MANAGEMENT OF GENERAL INJURIES,SPORTS INJURIES & COMMON ALIMENTS",1/E R.P.,2012,37.50%,INR,495,NURSING,FIRST AID NURSING,NURSING BASIC
9789351526667,RIMPLE SHARMA,ESSENTIALS OF PEDIATRIC NURSING AS PER REVISED INC SYLLABUS,3/E,2021,37.50%,INR,995,NURSING,CHILD HEALTH (PEDIATRIC) NURSING,NURSING CLINICAL
9789389188516,ANNAMMA JACOB,"CLINICAL NURSING PROCEDURES: THE ART OF NURSING PRACTICE
",4/E,2020,37.50%,INR,1495,NURSING,NURSING PRACTICE AND PROCEDURES,NURSING BASIC
9789354655968,DARSHAN SOHI,A COMPREHENSIVE TEXTBOOK OF APPLIED NUTRITION AND DIETETICS FOR BSC NURSING STUDENTS,3/E,2022,37.50%,INR,495,NURSING,NUTRITION AND DIETETICS,NURSING BASIC
9788194802846,CLEMENT I,TEXTBOOK OF NURSING FOUNDATION AS PER INC NEW SYLLABUS,3/E,2021,37.50%,INR,1095,NURSING,NURSING FOUNDATION,NURSING BASIC
9789389188035,BALAKRISHNA SHETTY,HISTOLOGY PRACTICAL MANUAL,4/E,2019,30.00%,INR,595,MEDICAL,ANATOMY,UG BASIC
9789354654459,ARCHITH BOLOOR,AN INSIDER’S GUIDE TO CLINICAL MEDICINE,2/E,2022,35.00%,INR,1395,MEDICAL,INTERNAL MEDICINE,UG CLINICAL
9789352706785,ANNAMMA JACOB,A COMPREHENSIVE TEXTBOOK OF MIDWIFERY & GYNECOLOGICAL NURSING,5/E,2019,37.50%,INR,1395,NURSING,MIDWIFERY AND OBSTETRICAL NURSING,NURSING CLINICAL
9788180614767,KP NEERAJA,TEXTBOOK OF SOCIOLOGY FOR NURSES AS PER INC SYLLABUS,1/E R.P.,2010,37.50%,INR,750,NURSING,SOCIOLOGY,NURSING BASIC
9789390281428,GAUTAM BISWAS,REVIEW OF FORENSIC MEDICINE & TOXICOLOGY,5/E,2021,30.00%,INR,1295,MEDICAL,FORENSIC MEDICINE AND TOXICOLOGY,UG BASIC
9789354655944,PADMAJA UDAYKUMAR,PHARMACOLOGY FOR NURSES,5/E,2022,37.50%,INR,795,NURSING,PHARMACOLOGY,NURSING BASIC
9789352705290,NIKHIL MARWAH,TEXTBOOK OF PEDIATRIC DENTISTRY,4/E,2019,30.00%,INR,1995,DENTISTRY,PEDODONTICS,DENTISTRY CLINICAL
9789354652394,CLEMENT I,PRACTICAL RECORD/CUMULATIVE RECORD FOR GENERAL NURSING AND MIDWIFERY COURSE,4/E,2022,37.50%,INR,225,NURSING,CLINICAL RECORD BOOK,NURSING BASIC
9789352705788,NEELIMA ANIL MALIK,TEXTBOOK OF ORAL AND MAXILLOFACIAL SURGERY,5/E,2021,30.00%,INR,1895,DENTISTRY,ORAL AND MAXILLOFACIAL SURGERY,DENTISTRY CLINICAL
9789352705320,VP VARSHNEY,GHAI'S TEXTBOOK OF PRACTICAL PHYSIOLOGY,9/E,2019,30.00%,INR,895,MEDICAL,PHYSIOLOGY,UG BASIC
9789380704661,AHUJA,A SHORT TEXTBOOK OF PSYCHIATRY,7/E,2011,30.00%,INR,795,MEDICAL,PSYCHIATRY,UG CLINICAL
9789386107749,HARSH MOHAN,ESSENTIAL PATHOLOGY FOR DENTAL STUDENTS WITH PRACTICAL PATHOLOGY FOR DENTAL STUDENTS,5/E,2017,30.00%,INR,1395,DENTISTRY,PATHOLOGY,DENTISTRY BASIC
9788194802884,SOUGATA GHOSH,PANIKER'S TEXTBOOK OF MEDICAL PARASITOLOGY AS PER THE COMPETENCY BASED MEDICAL EDUCATION CURRICULUM,9/E,2021,30.00%,INR,895,MEDICAL,PARASITOLOGY,UG BASIC
9789352704644,AJAY YADAV,SHORT TEXTBOOK OF ANESTHESIA,6/E R.P.,2018,30.00%,INR,550,MEDICAL,ANESTHESIOLOGY,UG CLINICAL
9789352700318,RAMADAS NAYAK,TEXTBOOK OF PATHOLOGY AND GENETICS FOR NURSES,2/E,2017,37.50%,INR,550,NURSING,PATHOLOGY AND GENETICS,NURSING BASIC
9789354655463,VIKAS SINHA,PRACTICAL ENT,4/E,2022,30.00%,INR,369,MEDICAL,OTORHINOLARYNGOLOGY/ HEAD & NECK SURGERY,UG CLINICAL
9789386056290,ASHALATHA PR,TEXTBOOK OF ANATOMY AND PHYSIOLOGY FOR GNM STUDENTS,1/E,2017,37.50%,INR,995,NURSING,ANATOMY,NURSING BASIC
9789390020010,JOGINDRA VATI,PRINCIPLES AND PRACTICE OF NURSING MANAGEMENT AND ADMINISTRATION FOR BSC AND MSC NURSING,2/E,2020,37.50%,INR,895,NURSING,NURSING MANAGEMENT AND ADMINISTRATION,NURSING CLINICAL
9789351526735,SURESH K SHARMA,"TEXTBOOK OF PHARMACOLOGY, PATHOLOGY AND GENETICS FOR NURSES (2VOLS)",1/E,2016,37.50%,INR,1095,NURSING,PHARMACOLOGY,NURSING BASIC
9789354657252,VIVEK JAIN,EXAM PREPARATORY MANUAL FOR UNDERGRADUATES COMMUNITY MEDICINE (PSM),4/E,2022,35.00%,INR,1395,MEDICAL,COMMUNITY MEDICINE (PSM),UG BASIC
9789352705467,R RAJAMAHENDRAN,LONG CASES IN GENERAL SURGERY,3/E,2019,35.00%,INR,695,MEDICAL,SURGERY,UG CLINICAL
9789390595259,HARSH MOHAN,PRACTICAL PATHOLOGY AS PER COMPETENCY-BASED MEDICAL EDUCATION CURRICULUM (NMC),5/E,2021,30.00%,INR,895,MEDICAL,PATHOLOGY,UG BASIC
9789390595235,SATISH GUPTE,THE SHORT TEXTBOOK OF MEDICAL MICROBIOLOGY FOR NURSES,3/E,2021,37.50%,INR,650,NURSING,MICROBIOLOGY,NURSING BASIC
9789386261649,TK INDRANI,TEXTBOOK OF SOCIOLOGY FOR NURSES AS PER INC SYLLABUS,2/E,2018,37.50%,INR,550,NURSING,SOCIOLOGY,NURSING BASIC
9789390595846,ASHALATHA PR,TEXTBOOK OF ANATOMY FOR BSC NURSING STUDENTS,3/E,2021,37.50%,INR,1150,NURSING,ANATOMY,NURSING BASIC
9789350909843,JACOB ANTHIKAD,PSYCHOLOGY & SOCIOLOGY FOR GNM AND BPT STUDENTS,3/E,2014,37.50%,INR,550,NURSING,PSYCHOLOGY,NURSING BASIC
9789354651250,AH SURYAKANTHA,COMMUNITY MEDICINE WITH RECENT ADVANCES,6/E,2022,30.00%,INR,1595,MEDICAL,COMMUNITY MEDICINE (PSM),UG BASIC
9789350904206,KD TRIPATHI,ESSENTIALS OF PHARMACOLOGY FOR DENTISTRY COVERING THE LATEST CURRICULUM,4/E,2021,30.00%,INR,995,DENTISTRY,PHARMACOLOGY,DENTISTRY BASIC
9789354655050,KANCHAN KAPOOR,INDERBIR SINGH'S TEXTBOOK OF CLINICAL NEUROANATOMY,11/E,2022,30.00%,INR,795,MEDICAL,ANATOMY,UG BASIC
9789351524441,DEEPAK NALLASWAMY VEERAIYAN,TEXTBOOK OF PROSTHODONTICS,2/E,2017,30.00%,INR,2295,DENTISTRY,PROSTHODONTICS,DENTISTRY CLINICAL
9789352703142,MAKHAN LAL SAHA,BEDSIDE CLINICS IN SURGERY,3/E,2018,30.00%,INR,1295,MEDICAL,SURGERY,UG CLINICAL
9789386261601,TK INDRANI,MANUAL OF NUTRITION & THERAPEUTIC DIET (AS PER INC SYLLABUS),2/E,2017,37.50%,INR,550,NURSING,NUTRITION AND DIETETICS,NURSING BASIC
9789389188837,ANIL GOVINDRAO GHOM,TEXTBOOK OF ORAL MEDICINE,4/E,2020,30.00%,INR,2095,DENTISTRY,ORAL MEDICINE AND RADIOLOGY,DENTISTRY CLINICAL
9788194802839,SMITA KAKAR,THE PRACTICE MANUAL OF ILLUSTRATIVE ANATOMY AS PER THE COMPETENCY BASED MEDICAL EDUCATION CURRICULUM,4/E,2021,30.00%,INR,695,MEDICAL,ANATOMY,UG BASIC
9789390281343,DM VASUDEVAN,CONCISE TEXTBOOK OF BIOCHEMISTRY FOR PARAMEDICAL STUDENTS,2/E,2021,35.00%,INR,550,ALLIED,BIOCHEMISTRY,ALLIED
9789389587562,SRIRAM BHAT M,SRB’S SURGERY FOR DENTAL STUDENTS,3/E,2020,35.00%,INR,895,DENTISTRY,GENERAL SURGERY,DENTISTRY CLINICAL
9789350904220,KP NEERAJA,CUMULATIVE RECORD/PRACTICAL RECORD FOR BASIC BSC(NURSING)COURSE(NTR UNI.OF HEALTH SCI.VIJAY.A.P,3/E,2013,37.50%,INR,225,NURSING,CLINICAL RECORD BOOK,NURSING CLINICAL
9789352701827,KOCHUTHRESIAMMA THOMAS,MEDICAL SURGICAL NURSING (2 VOLS),1/E,2018,37.50%,INR,1795,NURSING,MEDICAL SURGICAL NURSING,NURSING CLINICAL
9789352702107,JAGMOHAN SINGH,TEXTBOOK OF ELECTROTHERAPY,3/E,2018,30.00%,INR,795,ALLIED,ELECTROTHERAPY,ALLIED
9789354659393,I CLEMENT,INTERNSHIP TEXTBOOK OF GENERAL NURSING AND MIDWIFERY,3/E,2022,37.50%,INR,795,NURSING,INTERNSHIP,NURSING CLINICAL
9789352500482,JOHN J MANAPPALLIL,BASIC DENTAL MATERIALS,4/E,2016,30.00%,INR,1195,DENTISTRY,DENTAL MATERIALS,DENTISTRY BASIC
9789354650734,SINGI YATIRAJ,COMPANION FOR 2ND MBBS,16/E,2021,35.00%,INR,295,MEDICAL,MULTI SUBJECT,UG BASIC
9789389587357,ASPI F GOLWALLA,RX PRACTICAL PRESCRIBER,19/E,2020,35.00%,INR,450,MEDICAL,INTERNAL MEDICINE,UG CLINICAL
9789354656446,SINGI YATIRAJ,COMPANION FOR FINAL MBBS,16/E,2022,35.00%,INR,395,MEDICAL,MULTI SUBJECT,UG CLINICAL
9789354657825,NAVDEEP BANSAL,TEXTBOOK OF PSYCHOLOGY & SOCIOLOGY FOR GNM STUDENTS,3/E,2022,37.50%,INR,395,NURSING,PSYCHOLOGY,NURSING BASIC
9789352701070,RAMADAS NAYAK,TEXTBOOK OF PATHOLOGY FOR ALLIED HEALTH SCIENCES,1/E,2017,35.00%,INR,850,ALLIED,PATHOLOGY,ALLIED
9789352703104,BRATATI BANERJEE,MAHAJAN'S METHODS IN BIOSTATISTICS FOR MEDICAL STUDENTS AND RESEARCH WORKERS,9/E,2018,30.00%,INR,595,MEDICAL,COMMUNITY MEDICINE (PSM),UG BASIC
9789389188523,DEBASIS PRAMANIK,PRINCIPLES OF PHYSIOLOGY,6/E,2020,30.00%,INR,1650,MEDICAL,PHYSIOLOGY,UG BASIC
9789352705368,SUSHIL KUMAR,INDERBIR SINGH'S  TEXTBOOK OF HUMAN OSTEOLOGY WITH ATLAS OF MUSCLE ATTACHMENTS,4/E,2019,30.00%,INR,795,MEDICAL,ANATOMY,UG BASIC
9789390595396,K SWAMINATHAN,PATHOLOGY & GENETICS FOR NURSES,3/E,2021,37.50%,INR,795,NURSING,PATHOLOGY AND GENETICS,NURSING BASIC
9789354655180,ASHWINI C APPAJI,SURFACE AND RADIOLOGICAL ANATOMY: WITH A CLINICAL PERSPECTIVE,2/E,2022,30.00%,INR,495,MEDICAL,ANATOMY,UG BASIC
9789354652509,YOGESH ASHOK SONTAKKE,PRINCIPLES OF CLINICAL GENETICS,2/E,2022,35.00%,INR,495,MEDICAL,ANATOMY,UG BASIC
9789354654978,SINGI YATIRAJ,COMPANION FOR 1ST MBBS,17/E,2021,35.00%,INR,450,MEDICAL,MULTI SUBJECT,UG BASIC
9789354652851,SHANTIPRIYA REDDY,ESSENTIALS OF CLINICAL PERIODONTOLOGY & PERIODONTICS WITH HIGH QUALITY CLINICAL VIDEOS,6/E,2022,30.00%,INR,1295,DENTISTRY,PERIODONTICS,DENTISTRY CLINICAL
9789352705351,NISHA GARG,TEXTBOOK OF ENDODONTICS,4/E,2019,30.00%,INR,1395,DENTISTRY,ENDODONTICS AND CONSERVATIVE DENTISTRY,DENTISTRY CLINICAL
9789386150578,K SEMBULINGAM,ESSENTIALS OF PHYSIOLOGY FOR DENTAL STUDENTS,3/E,2021,30.00%,INR,995,DENTISTRY,PHYSIOLOGY,DENTISTRY BASIC
9789351524748,ASPI F GOLWALLA,GOLWALLA'S MEDICINE FOR STUDENTS A REFERENCE BOOK FOR THE FAMILY PHYSICIAN,25/E,2017,30.00%,INR,1795,MEDICAL,INTERNAL MEDICINE,UG CLINICAL
9789386322692,TK INDRANI,FIRST AID FOR NURSES,2/E,2018,37.50%,INR,395,NURSING,FIRST AID NURSING,NURSING BASIC
9789390020751,KAUSHIK JOTHINATH,ANESTHESIA REVIEW,2/E,2021,35.00%,INR,1795,MEDICAL,ANESTHESIOLOGY,PG
9789354651267,ANIL K TRIPATHI,ESSENTIALS OF MEDICINE FOR DENTAL STUDENTS,4/E,2022,35.00%,INR,895,DENTISTRY,GENERAL MEDICINE,DENTISTRY CLINICAL
9789390020485,ATUL PRABHAKAR KULKARNI,OBJECTIVE ANESTHESIA REVIEW: A COMPREHENSIVE TEXTBOOK FOR THE EXAMINEES,5/E,2021,35.00%,INR,1595,MEDICAL,ANESTHESIOLOGY,PG
9789352700486,K THAYALAN,BASIC RADIOLOGICAL PHYSICS,2/E,2017,35.00%,INR,695,ALLIED,IMAGING TECHNOLOGY,ALLIED
9789386150288,KS NARAYAN REDDY,THE SYNOPSIS OF FORENSIC MEDICINE AND TOXICOLOGY,29/E,2017,30.00%,INR,650,MEDICAL,FORENSIC MEDICINE AND TOXICOLOGY,UG BASIC
9789354657931,HEMANT GUPTA,MASTERING THE BDS IVTH YEAR-II,8/E,2022,35.00%,INR,1395,DENTISTRY,MULTI SUBJECT,DENTISTRY CLINICAL
9789390595761,NANDA MAHESHWARI,CLINICAL PATHOLOGY HEMATOLOGY & BLOOD BANKING FOR DMLT STUDENTS,4/E,2021,35.00%,INR,695,ALLIED,CLINICAL PATHOLOGY,ALLIED
9788171799664,CP THRESYAMMA,FUNDAMENTALS OF NURSING PROCEDURE MANUAL FOR GEN. NURS.& MIDWIFERY COURSE (REV.SYLLABUS),1/E R.P.,2011,37.50%,INR,795,NURSING,FUNDAMENTALS OF NURSING,NURSING BASIC
9789390595211,AM KADRI,IAPSM’S TEXTBOOK OF COMMUNITY MEDICINE: AS PER THE COMPETENCY-BASED MEDICAL EDUCATION CURRICULUM (NM,2/E,2021,35.00%,INR,1595,MEDICAL,COMMUNITY MEDICINE (PSM),UG BASIC
9789386150301,PANKAJA NAIK,ESSENTIALS OF BIOCHEMISTRY,2/E,2017,30.00%,INR,1195,MEDICAL,BIOCHEMISTRY,UG BASIC
9789390595419,RAJESH BARDALE,PRINCIPLES OF FORENSIC MEDICINE & TOXICOLOGY,3/E,2021,30.00%,INR,1295,MEDICAL,FORENSIC MEDICINE AND TOXICOLOGY,UG BASIC
9789354654961,HEMANT GUPTA,MASTERING THE BDS IVTH YEAR-I,8/E,2022,35.00%,INR,1295,DENTISTRY,MULTI SUBJECT,DENTISTRY CLINICAL
9788194802808,GAUTAM BISWAS,MANUAL OF PRACTICAL FORENSIC MEDICINE & TOXICOLOGY: AS PER COMPETENCY BASED MEDICAL EDUCATION CURRIC,1/E,2021,35.00%,INR,595,MEDICAL,FORENSIC MEDICINE AND TOXICOLOGY,UG BASIC
9789390595976,ML GUPTA,COMPREHENSIVE WORKBOOK OF PRACTICAL PATHOLOGY: AS PER THE COMPETENCY-BASED MEDICAL EDUCATION CURRICU,1/E,2021,35.00%,INR,895,MEDICAL,PATHOLOGY,UG BASIC
9789389188929,SR PRASAD,PRACTICAL HISTOLOGY FOR MEDICAL STUDENTS,4/E,2021,30.00%,INR,495,MEDICAL,ANATOMY,UG BASIC
9789386322326,R SREEVANI,MENTAL HEALTH NURSING:PRACTICAL RECORD BOOK FOR BSC NURSING AND PC BSC NURSING,2/E,2017,37.50%,INR,395,NURSING,CLINICAL RECORD BOOK,NURSING CLINICAL
9789351529071,DADAPEER K,CLINICAL METHODS IN OPHTHALMOLOGY:A PRACTICAL MANUAL FOR MEDICAL STUDENTS,2/E,2015,30.00%,INR,795,MEDICAL,OPHTHALMOLOGY,UG CLINICAL
9789354656934,R SREEVANI,APPLIED SOCIOLOGY FOR NURSES,1/E,2022,37.50%,INR,495,NURSING,SOCIOLOGY,NURSING BASIC
9789352706938,NITIN DEVADIYA,"CHILD HEALTH NURSING PRACTICAL RECORD BOOK
",2/E,2019,37.50%,INR,450,NURSING,CLINICAL RECORD BOOK,NURSING CLINICAL
9789389188707,S SUNDER,TEXTBOOK OF REHABILITATION,4/E,2020,35.00%,INR,850,ALLIED,REHABILITATION,ALLIED
9789354651045,HEMANT GUPTA,MASTERING THE BDS IIIRD YEAR,9/E,2022,35.00%,INR,1095,DENTISTRY,MULTI SUBJECT,DENTISTRY CLINICAL
9788180614699,S LAKSHMI NARAYANAN,TEXTBOOK OF THERAPEUTIC EXERCISES,1/E R.P.,2016,35.00%,INR,750,ALLIED,THERAPEUTIC EXERCISES,ALLIED
9789352703074,KOCHUTHRESIAMMA THOMAS,INTERNSHIP TEXTBOOK FOR GNM (AS PER REVISED INC SYLLABUS 2015),1/E,2018,37.50%,INR,595,NURSING,INTERNSHIP,NURSING CLINICAL
9789352701834,SHIJA K,FOUNDATIONS OF PSYCHIATRIC MENTAL HEALTH NURSING AS PER INC SYLLABUS,1/E,2018,37.50%,INR,650,NURSING,MENTAL HEALTH (PSYCHIATRIC) NURSING,NURSING CLINICAL
9789386150691,SHIRISH M KAWTHALKAR,ESSENTIALS OF CLINICAL PATHOLOGY,2/E,2018,30.00%,INR,950,MEDICAL,PATHOLOGY,UG BASIC
9789386150295,RAMALINGAM A THANGAMANI,PSYCHOLOGY FOR PHYSIOTHERAPISTS,2/E,2017,35.00%,INR,450,ALLIED,PSYCHOLOGY,ALLIED
9789389188318,PANKAJA NAIK,"BIOCHEMISTRY
",5/E,2019,30.00%,INR,1650,MEDICAL,BIOCHEMISTRY,UG BASIC
9788194802822,APURBA SANKAR SASTRY,ESSENTIALS OF PRACTICAL MICROBIOLOGY,2/E,2021,30.00%,INR,695,MEDICAL,MICROBIOLOGY,UG BASIC
9789354650963,HEMANT GUPTA,MASTERING THE BDS IIND YEAR,10/E,2022,35.00%,INR,1095,DENTISTRY,MULTI SUBJECT,DENTISTRY BASIC
9789354657245,B SANKARANARAYANAN,LEARNING AND TEACHING NURSING (A BOOK ON NURSING EDUCATION AND EDUCATIONAL TECHNOLOGY),5/E,2022,37.50%,INR,595,NURSING,COMMUNICATION AND EDUCATIONAL TECHNOLOGY,NURSING BASIC
9788180614644,KP NEERAJA,TEXTBOOK OF SOCIOLOGY FOR PHYSIOTHERAPY STUDENTS,1/E R.P.,2008,35.00%,INR,795,ALLIED,SOCIOLOGY,ALLIED
9789350252550,J SARUMATHI,ENGLISH FOR NURSING,2/E,2011,37.50%,INR,395,NURSING,ENGLISH,NURSING BASIC
9789386056856,PADMAJA UDAYKUMAR,PHARMACOLOGY FOR DENTAL AND ALLIED HEALTH SCIENCES,4/E,2017,30.00%,INR,950,DENTISTRY,PHARMACOLOGY,DENTISTRY BASIC
9789350909461,JACOB ANTHIKAD,NUTRITION AND BIOCHEMISTRY FOR NURSES,2/E,2014,37.50%,INR,650,NURSING,NUTRITION AND DIETETICS,NURSING BASIC
9789350907320,SURESH K SHARMA,TEXTBOOK OF BIOCHEMISTRY & BIOPHYSICS FOR NURSES,1/E,2014,37.50%,INR,650,NURSING,BIOCHEMISTRY,NURSING BASIC
9789354651571,R SREEVANI,CUMULATIVE RECORD BOOK FOR GENERAL NURSING AND MIDWIFERY COURSE,2/E,2022,37.50%,INR,195,NURSING,CLINICAL RECORD BOOK,NURSING BASIC
9789390595549,P RAMAMOORTHY,TEXTBOOK OF BIOCHEMISTRY FOR PARAMEDICAL STUDENTS,2/E,2021,35.00%,INR,595,ALLIED,PARAMEDICS,ALLIED
9789352705696,FRENY R KARJODKAR,ESSENTIALS OF ORAL & MAXILLOFACIAL RADIOLOGY,2/E,2019,30.00%,INR,1650,DENTISTRY,ORAL AND MAXILLOFACIAL RADIOLOGY,DENTISTRY CLINICAL
9789386150233,MOHAN BANSAL,"DISEASES OF EAR, NOSE & THROAT",3/E,2021,30.00%,INR,1295,MEDICAL,OTORHINOLARYNGOLOGY/ HEAD AND NECK SURGERY,UG CLINICAL
9789354655364,ABHA NARWAL,KEY TO SUCCESS STAFF NURSES RECRUITMENT EXAM (2007-2021),9/E,2022,37.50%,INR,1395,NURSING,MULTI SUBJECT,NURSING CLINICAL
9789354652974,SNEHAL PATEL,EXAM PREPARATORY MANUAL FOR UNDERGRADUATES PEDIATRICS,3/E,2022,35.00%,INR,1195,MEDICAL,PEDIATRICS,UG CLINICAL
9789354656682,SUJATHA ATRI,T RAJARATHNAM’S QUICK REFERENCE AND RECORD OF CLINICAL EXPERIENCE FOR BSC AND GNM STUDENTS,3/E,2022,37.50%,INR,495,NURSING,CLINICAL RECORD BOOK,NURSING CLINICAL
9789354657962,CLEMENT I,"APPLIED NUTRITION, DIETETICS AND BIOCHEMISTRY FOR BASIC BSC NURSING",2/E,2022,37.50%,INR,795,NURSING,NUTRITION AND DIETETICS,NURSING CLINICAL
9789386056818,R SREEVANI,MENTAL HEALTH NURSING PRACTICAL RECORD BOOK FOR GENERAL NURSING AND MIDWIFERY,1/E,2016,37.50%,INR,395,NURSING,CLINICAL RECORD BOOK,NURSING CLINICAL
9788180616310,GLADY SAMUEL RAJ,PHYSIOTHERAPY IN NEURO-CONDITIONS,1/E,2006,35.00%,INR,695,ALLIED,PHYSIOTHERAPY IN NEUROLOGY AND NEUROSURGERY,ALLIED
9789354656002,RIMPLE SHARMA,JAYPEE’S NURSING DRUG BOOK 2022-2023,2/E,2022,37.50%,INR,895,NURSING,PHARMACOLOGY,NURSING BASIC
9789352705337,V SUBHADRA DEVI,TEXTBOOK OF GENERAL ANATOMY,"1/E,R.P.",2022,35.00%,INR,495,MEDICAL,ANATOMY,UG BASIC
9789390595747,GEETHA N,HUMAN PHYSIOLOGY FOR MEDICAL STUDENTS,1/E,2021,30.00%,INR,1395,MEDICAL,PHYSIOLOGY,UG BASIC
9789390020973,DEEPAK SETHI,MEDICAL SURGICAL NURSING I AND II,2/E,2021,37.50%,INR,1095,NURSING,MEDICAL SURGICAL NURSING,NURSING CLINICAL
